Fish_Type,Pond_Size,Harvest_Month,Previous_Harvest_Quantity,Average_Harvest_Last_3_Records,Total_Historical_Harvest_Records,Harvest_Quantity
Milkfish (Bangus),522,10,383,366,28,389
Milkfish (Bangus),693,4,497,516,17,593
Catfish (Hito),1101,5,776,746,18,806
Milkfish (Bangus),875,12,683,715,3,676
Carp,328,11,190,205,21,215
Catfish (Hito),1447,11,948,975,14,1004
Milkfish (Bangus),1028,6,730,675,12,681
Tilapia,404,10,223,228,28,249
Milkfish (Bangus),700,10,616,587,17,586
Catfish (Hito),1272,4,989,1114,23,1139
Milkfish (Bangus),1184,3,1007,1070,19,1182
Carp,1358,12,805,759,12,822
Catfish (Hito),1189,2,830,831,25,885
Tilapia,461,5,333,317,10,373
Catfish (Hito),552,5,417,438,23,480
Tilapia,1134,1,718,637,28,706
Milkfish (Bangus),1135,12,935,959,16,966
Carp,1218,11,740,782,23,814
Carp,994,9,509,526,30,537
Tilapia,847,4,542,523,11,635
Milkfish (Bangus),696,5,592,576,7,589
Carp,956,3,499,512,18,577
Catfish (Hito),1217,11,803,897,13,870
Carp,283,9,154,166,25,163
Catfish (Hito),1461,1,960,1026,30,1045
Carp,1037,3,518,451,19,523
Carp,410,1,274,275,10,294
Tilapia,1298,11,773,847,23,859
Milkfish (Bangus),1179,2,984,991,28,1140
Catfish (Hito),818,11,516,449,25,522
Catfish (Hito),342,12,217,230,30,235
Carp,1460,7,706,619,13,664
Catfish (Hito),1484,7,993,989,30,911
Tilapia,903,4,525,541,19,650
Carp,251,8,137,124,9,119
Catfish (Hito),1033,3,798,878,5,952
Tilapia,1075,1,587,546,8,657
Carp,1453,2,777,779,13,813
Carp,1475,4,798,784,9,837
Tilapia,728,4,412,421,26,479
Milkfish (Bangus),463,11,363,322,3,343
Tilapia,1263,11,884,867,23,906
Tilapia,1082,10,634,639,9,657
Milkfish (Bangus),827,10,784,705,9,764
Carp,1262,4,782,723,26,871
Catfish (Hito),1196,3,796,730,23,849
Milkfish (Bangus),850,9,772,826,19,774
Tilapia,579,8,352,328,16,300
Carp,674,10,404,358,10,361
Milkfish (Bangus),306,12,265,253,20,257
Carp,1448,7,861,868,19,858
Catfish (Hito),1371,8,1026,954,13,947
Carp,749,8,498,546,3,451
Carp,1498,11,832,908,11,843
Carp,813,6,422,413,21,416
Milkfish (Bangus),1096,7,821,866,6,756
Catfish (Hito),777,5,613,548,22,675
Catfish (Hito),1155,2,893,945,12,978
Tilapia,948,1,684,698,23,751
Tilapia,1181,5,832,765,26,826
Carp,983,5,580,625,15,697
Tilapia,772,5,444,448,23,465
Tilapia,880,4,593,616,18,656
Tilapia,257,5,191,212,6,204
Milkfish (Bangus),573,11,506,488,15,465
Tilapia,753,12,452,412,10,468
Milkfish (Bangus),908,6,758,757,10,779
Milkfish (Bangus),1445,8,1288,1356,6,1233
Tilapia,718,5,388,437,12,467
Carp,753,8,380,348,18,365
Catfish (Hito),893,12,679,697,25,756
Carp,335,11,213,201,22,200
Milkfish (Bangus),517,6,437,395,8,422
Catfish (Hito),381,9,268,247,3,268
Carp,629,2,337,326,9,367
Catfish (Hito),1228,12,909,905,13,989
Carp,961,2,590,639,11,640
Catfish (Hito),1484,2,949,1020,27,1106
Catfish (Hito),919,7,737,758,17,702
Catfish (Hito),311,4,261,275,15,273
Carp,1355,6,779,682,26,751
Tilapia,318,12,214,237,11,224
Milkfish (Bangus),1325,8,913,851,28,910
Tilapia,1196,1,775,798,13,848
Tilapia,1149,1,640,579,5,699
Tilapia,1392,5,755,770,25,823
Tilapia,710,3,495,450,10,525
Catfish (Hito),1480,8,910,1007,22,948
Tilapia,820,10,577,573,21,561
Carp,816,1,517,467,5,498
Tilapia,733,7,451,465,10,421
Catfish (Hito),465,11,394,389,27,383
Tilapia,309,9,194,216,4,200
Catfish (Hito),686,2,493,464,30,524
Catfish (Hito),514,1,365,380,27,393
Carp,1378,3,777,703,20,886
Tilapia,934,6,653,577,10,582
Catfish (Hito),921,1,663,622,12,639
Tilapia,296,8,218,222,7,199
Carp,730,10,381,359,22,388
Catfish (Hito),849,9,691,749,24,647
Tilapia,364,12,255,283,7,289
Milkfish (Bangus),623,1,525,569,26,584
Catfish (Hito),432,1,365,358,5,358
Catfish (Hito),695,8,578,512,13,474
Tilapia,1237,6,679,597,18,632
Carp,576,3,311,330,3,372
Carp,1373,6,735,831,13,807
Carp,922,5,506,508,10,560
Carp,267,1,164,167,29,169
Carp,1206,4,605,620,23,733
Milkfish (Bangus),1295,6,1161,1150,8,1041
Tilapia,382,7,231,230,8,229
Milkfish (Bangus),483,9,365,374,30,395
Carp,1291,7,782,707,21,656
Milkfish (Bangus),793,12,628,583,5,674
Milkfish (Bangus),1350,9,1154,1050,25,994
Catfish (Hito),1068,10,738,733,20,732
Catfish (Hito),550,8,396,407,11,404
Milkfish (Bangus),923,7,828,745,23,770
Catfish (Hito),853,3,535,591,19,684
Milkfish (Bangus),254,9,195,209,8,198
Milkfish (Bangus),471,12,379,375,25,395
Milkfish (Bangus),902,1,692,678,16,782
Catfish (Hito),879,4,648,693,28,736
Tilapia,1238,5,655,597,10,656
Tilapia,1434,6,946,850,30,964
Catfish (Hito),1180,12,844,880,12,824
Tilapia,877,7,501,493,23,491
Catfish (Hito),1170,5,925,954,30,1041
Tilapia,1004,9,545,573,18,572
Carp,891,1,544,525,27,525
Carp,324,7,191,175,12,167
Tilapia,537,7,372,361,24,330
Catfish (Hito),388,10,280,247,5,253
Catfish (Hito),1452,8,1123,1014,17,963
Milkfish (Bangus),1434,8,1198,1346,13,1179
Carp,631,6,322,289,17,292
Milkfish (Bangus),1356,7,1023,949,21,994
Carp,1400,1,749,818,11,874
Carp,1393,1,698,687,11,721
Carp,1355,12,799,883,4,913
Tilapia,1063,2,578,557,29,592
Carp,1477,7,714,625,28,666
Tilapia,573,9,329,354,26,341
Carp,722,1,486,501,7,494
Tilapia,714,8,497,537,28,492
Carp,1360,8,818,797,11,760
Tilapia,1498,2,916,934,30,1077
Tilapia,1483,9,787,750,24,824
Milkfish (Bangus),1211,1,1029,1007,23,1060
Carp,1261,5,758,803,11,881
Catfish (Hito),650,4,421,382,23,468
Milkfish (Bangus),319,3,303,267,29,335
Milkfish (Bangus),886,7,814,830,22,724
Catfish (Hito),253,9,215,219,16,200
Tilapia,288,9,177,187,28,185
Tilapia,567,6,350,334,4,348
Catfish (Hito),1275,11,915,806,9,833
Tilapia,1202,3,806,731,25,862
Carp,778,3,475,529,30,525
Catfish (Hito),814,10,570,589,24,580
Catfish (Hito),1490,4,1185,1155,7,1267
Tilapia,911,4,652,722,10,798
Milkfish (Bangus),1497,8,1176,1283,21,1071
Catfish (Hito),1293,9,967,935,16,890
Tilapia,289,1,182,169,14,180
Milkfish (Bangus),980,4,882,793,11,940
Carp,450,1,272,282,17,287
Carp,887,3,510,493,8,565
Tilapia,793,5,490,457,24,512
Carp,306,1,201,215,18,213
Milkfish (Bangus),495,7,360,351,27,376
Carp,741,11,403,414,6,390
Carp,1069,11,585,545,15,612
Catfish (Hito),746,7,536,479,23,491
Catfish (Hito),885,10,704,779,15,741
Catfish (Hito),979,1,738,697,18,795
Milkfish (Bangus),1321,10,1191,1299,10,1163
Tilapia,1387,8,730,701,6,696
Carp,689,9,375,353,29,373
Milkfish (Bangus),254,11,208,234,23,232
Milkfish (Bangus),315,3,234,261,5,282
Carp,784,6,509,470,8,490
Tilapia,1204,3,746,693,11,780
Carp,1457,6,907,916,22,858
Milkfish (Bangus),1141,1,837,818,17,914
Tilapia,1169,1,807,781,9,785
Carp,494,8,280,279,25,257
Catfish (Hito),1108,7,757,845,24,713
Carp,416,11,262,245,19,260
Catfish (Hito),648,1,499,560,18,545
Catfish (Hito),1060,8,721,675,19,725
Catfish (Hito),508,12,336,363,25,357
Tilapia,1459,6,781,821,22,834
Milkfish (Bangus),672,4,596,633,10,655
Carp,1346,5,665,682,10,704
Tilapia,596,2,356,330,17,390
Milkfish (Bangus),934,9,785,782,26,733
Carp,1240,4,652,710,8,794
Carp,1016,11,521,521,4,553
Catfish (Hito),830,4,547,560,3,642
Carp,291,12,162,144,4,162
Carp,404,1,261,292,21,307
Tilapia,591,6,358,378,3,335
Catfish (Hito),700,10,470,495,11,489
Tilapia,919,6,509,462,28,500
Carp,1070,6,537,601,19,559
Milkfish (Bangus),699,9,658,686,20,679
Milkfish (Bangus),484,5,447,448,20,473
Carp,1481,2,812,890,6,956
Carp,1476,9,719,800,27,748
Catfish (Hito),1065,9,838,855,14,841
Tilapia,492,4,310,270,8,339
Carp,620,1,318,291,18,341
Tilapia,632,2,370,343,9,397
Carp,459,9,288,289,13,278
Tilapia,563,9,351,331,29,360
Carp,1069,9,687,608,20,654
Carp,1098,5,585,525,13,666
Catfish (Hito),427,4,336,354,10,358
Tilapia,1268,9,864,771,17,724
Milkfish (Bangus),1046,3,860,751,7,930
Catfish (Hito),1375,10,1107,1223,26,1114
Catfish (Hito),748,2,617,693,28,723
Carp,502,10,337,352,29,355
Tilapia,952,10,524,574,29,520
Tilapia,674,5,426,396,6,480
Carp,949,1,513,450,28,555
Tilapia,1128,5,767,835,18,871
Milkfish (Bangus),1458,7,1226,1182,23,1059
Catfish (Hito),551,7,433,414,24,413
Catfish (Hito),494,7,415,406,10,364
Carp,859,9,534,598,13,538
Tilapia,989,9,631,601,13,544
Catfish (Hito),1333,10,943,841,15,934
Catfish (Hito),463,1,379,374,14,416
Carp,511,9,346,350,23,340
Carp,741,5,487,513,24,577
Tilapia,986,1,581,613,19,676
Tilapia,1058,2,669,713,9,780
Milkfish (Bangus),445,1,365,329,6,395
Tilapia,780,3,453,447,17,548
Tilapia,861,10,501,563,3,555
Catfish (Hito),513,9,331,338,20,313
Catfish (Hito),1274,11,818,810,29,805
Tilapia,674,9,399,449,4,373
Tilapia,1324,6,821,811,5,852
Carp,499,9,318,336,8,315
Milkfish (Bangus),282,10,264,271,10,259
Catfish (Hito),620,8,518,548,10,454
Catfish (Hito),1423,3,954,929,19,1098
Milkfish (Bangus),720,12,635,585,19,683
Tilapia,695,5,468,481,14,506
Carp,1062,12,666,723,28,693
Tilapia,774,4,423,453,18,492
Tilapia,603,4,360,345,10,407
Catfish (Hito),980,12,646,701,10,658
Catfish (Hito),891,3,661,728,17,774
Milkfish (Bangus),1468,4,1072,999,27,1186
Catfish (Hito),739,7,497,461,18,461
Milkfish (Bangus),1090,10,1014,936,22,933
Carp,1456,9,844,852,22,763
Carp,1367,9,791,799,20,753
Carp,568,12,336,296,24,333
Tilapia,1411,12,841,869,13,934
Tilapia,1086,12,598,664,26,722
Tilapia,899,9,517,510,20,483
Milkfish (Bangus),277,2,218,223,30,238
Carp,713,9,397,411,14,419
Catfish (Hito),786,2,603,619,30,634
Tilapia,328,9,217,212,26,220
Carp,638,12,356,395,24,382
Milkfish (Bangus),422,10,320,357,22,347
Tilapia,538,7,388,399,8,384
Tilapia,387,12,251,262,28,266
Carp,323,1,222,214,29,245
Milkfish (Bangus),459,6,337,327,7,312
Catfish (Hito),743,2,581,631,6,648
Carp,500,7,274,292,24,278
Catfish (Hito),708,1,570,635,5,624
Catfish (Hito),1456,8,932,988,29,912
Carp,859,5,571,604,7,593
Catfish (Hito),714,11,562,624,14,569
Catfish (Hito),841,1,593,593,19,592
Catfish (Hito),459,2,383,368,14,379
Carp,1179,12,666,581,29,695
Carp,769,11,419,365,21,402
Carp,1131,2,594,588,14,672
Carp,399,6,250,241,22,263
Carp,1369,4,666,633,11,719
Catfish (Hito),934,5,752,714,28,795
Carp,295,1,153,171,18,185
Carp,517,11,312,337,22,327
Milkfish (Bangus),489,2,359,367,20,384
Milkfish (Bangus),1106,4,794,774,26,957
Milkfish (Bangus),454,3,402,386,18,457
Tilapia,888,4,499,437,20,511
Catfish (Hito),1380,5,1067,983,27,1135
Catfish (Hito),1245,2,785,866,21,858
Carp,464,9,274,265,28,268
Carp,1477,11,896,857,6,814
Milkfish (Bangus),777,5,586,572,18,665
Catfish (Hito),971,3,773,755,23,829
Catfish (Hito),871,2,559,531,18,575
Milkfish (Bangus),732,2,622,611,30,682
Tilapia,1087,2,666,701,15,681
Tilapia,925,8,626,704,18,641
Milkfish (Bangus),880,8,744,808,7,761
Carp,1282,4,776,853,8,913
Carp,1107,2,662,626,17,646
Milkfish (Bangus),1285,8,1147,1097,29,991
Tilapia,600,1,401,450,26,435
Milkfish (Bangus),939,7,709,795,25,740
Tilapia,259,3,188,195,3,211
Catfish (Hito),1230,4,956,1065,14,1047
Catfish (Hito),1205,9,815,796,11,825
Carp,277,2,175,157,15,187
Carp,1428,8,722,811,5,683
Catfish (Hito),348,4,290,302,29,334
Tilapia,1399,6,898,978,21,945
Catfish (Hito),880,1,640,644,13,658
Milkfish (Bangus),810,3,652,572,25,675
Milkfish (Bangus),539,7,445,419,25,441
Tilapia,274,10,195,198,7,195
Catfish (Hito),1298,7,802,864,29,853
Milkfish (Bangus),508,7,414,456,29,427
Catfish (Hito),908,1,740,751,7,698
Carp,272,11,146,150,24,160
Milkfish (Bangus),599,4,461,515,18,586
Milkfish (Bangus),610,4,509,570,17,592
Tilapia,953,8,537,544,29,497
Milkfish (Bangus),1022,3,952,931,13,955
Tilapia,1293,1,843,898,25,880
Catfish (Hito),1053,6,689,767,4,744
Catfish (Hito),538,10,451,406,6,393
Tilapia,478,7,290,326,3,280
Catfish (Hito),880,11,649,690,23,697
Milkfish (Bangus),1011,5,901,950,21,1046
Carp,432,5,275,261,21,311
Carp,631,6,412,385,9,381
Milkfish (Bangus),710,9,582,611,28,610
Milkfish (Bangus),1035,9,922,898,29,943
Tilapia,906,9,529,545,3,485
Milkfish (Bangus),980,2,811,706,13,867
Catfish (Hito),702,6,505,503,6,506
Tilapia,906,7,633,626,4,539
Milkfish (Bangus),1216,12,1028,1008,21,1049
Carp,920,10,501,565,4,528
Catfish (Hito),774,12,607,569,9,571
Milkfish (Bangus),443,3,389,345,23,386
Carp,1042,10,634,581,18,619
Tilapia,1421,3,790,827,19,889
Carp,311,11,209,204,11,215
Tilapia,886,4,475,492,17,527
Tilapia,848,8,517,522,10,450
Tilapia,606,7,336,320,30,321
Carp,724,8,392,388,22,386
Milkfish (Bangus),653,8,622,561,29,545
Milkfish (Bangus),510,2,427,434,8,451
Milkfish (Bangus),590,5,566,628,10,583
Milkfish (Bangus),1071,6,922,946,15,971
Tilapia,333,1,247,227,12,229
Milkfish (Bangus),1161,1,991,1062,24,1110
Tilapia,419,5,292,320,20,316
Catfish (Hito),409,5,282,248,24,318
Carp,882,7,437,385,12,427
Catfish (Hito),862,3,600,548,7,598
Milkfish (Bangus),595,3,454,435,18,503
Tilapia,775,7,423,372,6,381
Catfish (Hito),1149,6,894,944,6,811
Catfish (Hito),283,5,184,185,8,191
Milkfish (Bangus),1254,4,1082,1152,16,1236
Milkfish (Bangus),1407,11,1079,974,30,1059
Tilapia,529,1,327,325,17,362
Tilapia,592,10,360,386,18,377
Milkfish (Bangus),260,9,199,211,21,204
Catfish (Hito),752,9,609,653,22,601
Catfish (Hito),1154,6,898,975,14,853
Carp,547,3,291,283,10,307
Carp,995,1,535,558,5,564
Catfish (Hito),777,2,650,661,25,648
Carp,378,4,237,253,30,285
Tilapia,474,7,332,364,15,309
Milkfish (Bangus),995,5,926,867,7,986
Tilapia,539,3,362,346,20,412
Carp,1357,3,730,776,26,857
Milkfish (Bangus),991,6,836,756,16,782
Tilapia,472,12,270,249,10,290
Tilapia,937,10,639,707,3,671
Carp,1279,5,747,837,30,934
Milkfish (Bangus),641,7,581,623,27,605
Tilapia,730,2,483,512,14,558
Catfish (Hito),1345,1,1084,994,23,1167
Tilapia,330,8,187,191,18,180
Milkfish (Bangus),352,7,318,291,21,300
Tilapia,473,5,272,279,6,317
Tilapia,996,9,640,690,25,689
Milkfish (Bangus),739,3,546,560,7,621
Catfish (Hito),480,4,405,379,27,419
Catfish (Hito),517,10,423,434,13,382
Catfish (Hito),841,5,595,580,5,654
Carp,937,2,464,497,27,498
Carp,630,12,392,359,27,397
Tilapia,1153,4,744,652,29,806
Carp,441,9,270,289,4,242
Milkfish (Bangus),1230,1,1069,998,22,1073
Catfish (Hito),399,7,279,266,9,248
Tilapia,486,6,339,325,28,355
Catfish (Hito),548,11,443,436,14,419
Carp,711,4,432,421,17,474
Carp,580,9,313,343,17,332
Milkfish (Bangus),763,8,538,517,23,517
Catfish (Hito),837,4,694,672,23,742
Carp,1013,11,522,584,10,590
Milkfish (Bangus),1449,12,990,974,9,1125
Catfish (Hito),423,2,274,293,6,321
Milkfish (Bangus),1119,12,971,958,4,925
Tilapia,619,1,375,421,17,418
Catfish (Hito),715,3,547,477,21,584
Milkfish (Bangus),554,12,492,500,13,498
Tilapia,459,12,279,309,17,310
Milkfish (Bangus),1333,11,1177,1041,13,1076
Carp,347,1,233,246,3,246
Carp,916,11,553,600,18,586
Carp,1186,7,775,681,10,666
Tilapia,1353,11,742,716,8,742
Carp,1417,2,792,889,26,929
Catfish (Hito),1342,2,948,832,9,885
Carp,1132,10,659,692,6,601
Catfish (Hito),811,11,660,626,22,696
Tilapia,1306,3,778,821,21,937
Catfish (Hito),629,4,520,518,30,604
Tilapia,905,3,625,547,24,608
Milkfish (Bangus),670,7,541,595,28,545
Tilapia,611,7,397,383,28,350
Carp,388,3,222,228,6,239
Tilapia,331,6,208,235,10,213
Milkfish (Bangus),361,5,344,369,19,401
Milkfish (Bangus),1411,7,1297,1140,20,1212
Carp,1322,7,746,802,28,709
Milkfish (Bangus),1004,4,845,883,13,936
Catfish (Hito),520,1,404,422,12,444
Catfish (Hito),408,5,321,282,25,326
Carp,833,7,430,397,13,375
Tilapia,366,7,259,261,10,238
Carp,1078,1,551,512,18,555
Carp,1000,10,558,566,15,597
Milkfish (Bangus),643,12,533,563,17,591
Carp,1162,5,655,708,8,721
Catfish (Hito),1481,1,1042,1035,13,1079
Milkfish (Bangus),1307,2,1074,1107,7,1213
Catfish (Hito),1012,3,812,780,29,933
Milkfish (Bangus),1449,9,1196,1128,10,1135
Tilapia,367,1,231,237,23,231
Milkfish (Bangus),1119,2,944,899,16,932
Catfish (Hito),794,1,532,556,29,550
Carp,1148,6,648,626,9,591
Tilapia,682,5,437,490,12,496
Tilapia,1393,9,753,700,15,712
Tilapia,657,11,441,450,27,452
Tilapia,746,12,420,383,20,423
Milkfish (Bangus),464,5,335,305,21,392
Carp,1497,2,841,901,16,861
Milkfish (Bangus),784,8,629,708,5,641
Tilapia,1482,6,933,995,23,980
Catfish (Hito),830,2,608,570,11,631
Tilapia,432,5,257,243,18,281
Milkfish (Bangus),453,7,375,361,29,332
Carp,1304,12,723,675,20,772
Tilapia,1432,10,780,701,13,692
Carp,1180,11,775,832,30,761
Tilapia,1473,11,854,896,12,823
Carp,1283,11,790,848,30,815
Carp,332,8,204,226,25,190
Tilapia,631,5,424,456,13,507
Tilapia,619,11,339,317,16,339
Tilapia,992,6,596,615,16,636
Tilapia,552,1,375,402,12,421
Tilapia,511,5,367,357,18,386
Milkfish (Bangus),1482,6,1255,1369,6,1188
Tilapia,1143,3,785,868,16,941
Milkfish (Bangus),330,9,315,325,24,308
Tilapia,306,9,171,163,26,181
Catfish (Hito),1438,3,1007,923,30,1098
Tilapia,377,8,248,242,27,218
Carp,756,2,469,418,27,458
Catfish (Hito),740,10,612,636,5,549
Milkfish (Bangus),1235,11,922,938,13,878
Carp,832,7,547,525,26,519
Carp,533,9,292,297,18,273
Tilapia,1427,6,830,890,27,814
Tilapia,1176,2,649,679,10,718
Catfish (Hito),913,6,575,508,17,571
Tilapia,1030,6,620,638,4,632
Tilapia,1286,6,804,820,14,776
Tilapia,317,11,226,208,3,218
Tilapia,971,1,669,704,14,652
Tilapia,1221,6,720,763,17,763
Tilapia,638,10,425,436,30,398
Catfish (Hito),599,2,459,460,15,510
Tilapia,578,5,405,433,22,471
Tilapia,1361,12,885,993,5,955
Carp,521,7,278,266,30,257
Carp,831,5,483,537,14,549
Catfish (Hito),893,11,710,662,27,644
Milkfish (Bangus),1037,5,860,796,26,960
Tilapia,1087,5,751,806,18,856
Tilapia,1081,8,679,672,21,662
Milkfish (Bangus),1013,10,735,774,16,774
Catfish (Hito),678,9,460,515,12,495
Carp,951,10,590,594,14,616
Tilapia,318,6,210,194,3,201
Carp,1227,7,688,721,6,696
Milkfish (Bangus),870,9,735,726,8,723
Tilapia,945,11,638,641,10,601
Tilapia,954,3,635,602,29,716
Milkfish (Bangus),603,2,508,474,18,519
Tilapia,1428,4,952,994,10,1070
Tilapia,422,8,246,251,8,254
Milkfish (Bangus),1347,5,1009,919,3,1142
Tilapia,544,12,361,366,8,356
Catfish (Hito),1088,12,669,596,5,666
Milkfish (Bangus),1469,9,1262,1204,18,1220
Carp,1458,7,945,979,13,921
Carp,565,12,335,374,21,393
Catfish (Hito),746,6,609,623,29,568
Tilapia,451,10,256,288,5,254
Milkfish (Bangus),1114,9,942,870,20,888
Carp,1032,6,539,570,18,522
Tilapia,989,3,573,618,15,629
Catfish (Hito),1417,10,959,910,27,892
Carp,1396,11,679,681,20,668
Carp,967,2,489,530,17,538
Milkfish (Bangus),927,1,867,865,20,957
Carp,693,6,374,395,27,367
Tilapia,1483,11,889,894,29,938
Tilapia,594,4,402,405,21,427
Carp,1399,3,822,737,6,804
Tilapia,275,9,186,187,13,182
Catfish (Hito),1094,3,682,704,6,794
Carp,946,6,599,533,9,564
Catfish (Hito),400,1,290,307,21,294
Tilapia,944,8,625,563,7,514
Tilapia,1142,3,651,706,4,780
Milkfish (Bangus),1318,1,1069,1145,12,1084
Carp,1156,6,744,771,5,721
Tilapia,856,3,515,545,8,585
Tilapia,912,10,606,589,8,546
Catfish (Hito),1430,6,1018,1145,17,1039
Catfish (Hito),1429,3,1049,976,22,1048
Tilapia,797,2,439,450,3,499
Tilapia,460,9,336,357,23,342
Tilapia,1126,12,671,749,9,751
Carp,1237,9,649,619,30,651
Milkfish (Bangus),280,12,260,267,18,262
Carp,1155,3,740,663,7,801
Carp,872,7,507,468,15,464
Tilapia,1312,11,726,759,25,820
Milkfish (Bangus),1275,1,889,988,14,989
Catfish (Hito),701,5,478,519,24,518
Carp,1176,4,773,858,30,958
Catfish (Hito),598,3,497,502,30,542
Catfish (Hito),386,2,305,297,19,317
Catfish (Hito),967,4,795,752,3,790
Carp,256,6,170,152,26,152
Tilapia,810,1,548,485,8,542
Milkfish (Bangus),728,11,590,537,16,554
Milkfish (Bangus),331,8,320,302,6,274
Milkfish (Bangus),409,6,389,418,24,401
Catfish (Hito),1267,7,999,1077,14,883
Catfish (Hito),860,3,548,597,10,589
Tilapia,1163,11,718,694,30,746
Carp,1256,1,662,681,9,760
Catfish (Hito),623,3,526,482,13,508
Catfish (Hito),987,8,645,665,3,632
Milkfish (Bangus),888,6,747,775,13,783
Tilapia,1241,3,857,933,21,912
Tilapia,1446,11,836,732,27,842
Catfish (Hito),798,12,586,522,23,566
Catfish (Hito),1354,6,1028,972,4,960
Tilapia,914,12,601,631,10,587
Carp,717,7,448,453,23,447
Tilapia,384,5,260,273,6,298
Milkfish (Bangus),476,10,419,389,17,398
Tilapia,1048,6,630,583,9,645
Catfish (Hito),546,11,347,306,6,325
Tilapia,1010,10,591,523,3,543
Milkfish (Bangus),310,7,278,294,20,258
Tilapia,1336,7,712,701,22,731
Carp,638,6,390,345,13,392
Milkfish (Bangus),468,3,335,326,3,395
Catfish (Hito),1275,12,916,904,28,949
Milkfish (Bangus),308,11,261,258,28,268
Milkfish (Bangus),1243,3,1067,1126,9,1246
Milkfish (Bangus),260,7,219,239,7,230
Milkfish (Bangus),994,10,736,763,8,706
Catfish (Hito),941,12,659,638,26,643
Carp,567,5,321,292,22,323
Catfish (Hito),368,12,284,285,21,297
Tilapia,441,8,246,274,17,232
Carp,779,7,494,451,3,468
Carp,305,12,191,179,25,186
Milkfish (Bangus),697,2,642,588,26,648
Carp,547,9,338,324,6,299
Catfish (Hito),1333,3,1023,901,23,1142
Tilapia,968,10,518,571,17,552
Carp,1282,7,794,834,21,816
Tilapia,532,5,363,363,8,394
Tilapia,1136,1,767,730,18,828
Milkfish (Bangus),384,7,362,339,20,322
Milkfish (Bangus),632,5,513,461,18,578
Milkfish (Bangus),506,8,437,385,17,365
Tilapia,1465,9,769,828,21,794
Carp,344,10,205,190,22,209
Tilapia,614,2,365,391,10,419
Catfish (Hito),1379,10,1060,1080,9,991
Tilapia,294,9,176,182,25,178
Carp,255,7,167,167,30,164
Catfish (Hito),846,3,548,540,23,608
Tilapia,825,10,465,523,15,452
Catfish (Hito),262,1,203,187,13,206
Carp,1154,9,757,725,5,702
Carp,388,7,255,229,22,216
Milkfish (Bangus),601,9,575,590,3,544
Carp,1449,8,894,857,26,804
Milkfish (Bangus),614,6,492,446,12,461
Carp,808,1,424,410,11,447
